PLAYER;TEAM;AGE;HEIGHT;MINUTES;PAINT_FGM;PAINT_FGA;PAINT_FG%;MR_FGM;MR_FGA;MR_FG%;3_FGM;3_FGA;3_FG%;FTM;FTA;FT%;PPG;OREB;DREB;AST;TOV;STL;BLK;DRIVES;POSTUPS;CATCH_SHOOT;USG%;PIE
Rayjon Tucker;UTA;22;6'3;8.1;0.8;1.2;0.667;0.2;0.3;60;0.2;0.9;9.4;0.5;0.7;71.4;3.1;0.2;0.9;0.3;0.4;0.1;0.1;1.7;0.1;0.6;15.2;6.8
Reggie Bullock;NYK;29;6'6;23.6;1.1;1.9;0.579;0.8;1.9;41.1;1.4;3.9;31.55;0.1;0.2;66.7;8.1;0.4;1.9;1.4;0.7;0.9;0.1;1.5;0;3.2;15.3;5.8
Reggie Jackson;LAC;30;6'3;24;2.1;4.7;0.447;0.4;1.2;32.4;1.8;4.6;42.4;0.4;0.5;81.3;11.9;0.5;2.4;4.1;1.6;0.4;0.2;8.5;0.1;2.7;22.9;9.8
Richaun Holmes;SAC;26;6'10;28.2;4.8;7.2;0.667;0.3;0.6;48;0;0;0;0.2;0.2;87.5;12.3;2.9;5.3;1;1.2;0.9;1.3;0.6;1;0;15.6;11.5
Ricky Rubio;PHX;29;6'3;31;2;4.5;0.444;1.2;2.9;42.1;1.2;3.3;34.425;1.1;1.3;90;13;0.7;4;8.8;2.7;1.4;0.2;12.4;0.1;2.4;19.9;12
Robert Covington;HOU;29;6'7;30.5;1.9;3.1;0.613;0.1;0.3;43.5;2.2;6.8;34.475;0.4;0.5;86.1;12.4;0.9;5.7;1.3;1.5;1.6;1.3;2.8;0;6.1;16.9;9
Robert Williams III;BOS;22;6'8;13.4;2.1;2.8;0.75;0.2;0.3;62.5;0;0;0;0;0;0;5.2;1.4;3;0.9;0.7;0.8;1.2;0.1;0.1;0;13.5;13.8
Robin Lopez;MIL;32;7'0;14.5;1.6;2.7;0.593;0.1;0.2;70;0.5;1.7;33;0;0.1;25;5.4;0.8;1.6;0.7;1;0.2;0.7;0.3;1.6;1.6;16.1;6
Rodions Kurucs;BKN;22;6'9;14.5;1;1.8;0.556;0;0.1;0;0.8;2;36.175;0.2;0.3;71.4;4.6;0.5;2.4;1.1;1;0.5;0.1;2;0.1;1.7;14.2;6.7
Rodney Hood;POR;27;6'8;29.5;1.6;3;0.533;1;1.9;51.3;1.7;3.5;50.125;0.3;0.4;75;11;0.5;3;1.5;0.9;0.8;0.2;3.6;1.1;2.2;13.7;7.4
Rodney McGruder;LAC;28;6'4;15.6;0.9;1.6;0.563;0;0.1;20;0.5;1.7;27.5;0.1;0.2;50;3.3;0.5;2.2;0.6;0.4;0.5;0.1;1.5;0;1.5;10.1;4.9
Romeo Langford;BOS;20;6'4;11.6;0.7;1.6;0.438;0.1;0.1;50;0.2;1;18.9;0.2;0.3;75;2.5;0.5;0.8;0.4;0.3;0.3;0.3;1.3;0.1;0.8;11.3;2.4
Rondae Hollis-Jefferson;TOR;25;6'6;18.7;2.4;4.7;0.511;0.2;0.4;36;0.1;0.4;18.75;0.5;0.6;85.3;7;1.8;2.9;1.8;1;0.8;0.4;2.4;1.8;0.4;16.4;10.1
Royce O'Neale;UTA;27;6'4;28.9;0.9;1.6;0.563;0;0.1;30;1.3;3.4;39.175;0.2;0.3;72.2;6.3;0.4;5.1;2.5;0.9;0.8;0.5;2.7;0;3;9.5;7.4
Rudy Gay;SAS;33;6'8;21.8;1.8;3.3;0.545;1.1;2.3;47.1;1.1;3.2;32.75;0.6;0.7;85.4;10.8;0.9;4.5;1.7;1.3;0.5;0.5;3.4;1.6;2.8;21.1;11.2
Rudy Gobert;UTA;28;7'1;34.3;5.6;8.2;0.683;0;0;0;0;0;0;0.1;0.1;40;15.1;3.4;10.1;1.5;1.9;0.8;2;0.5;0.7;0;16.2;15.1
Rui Hachimura;WAS;22;6'8;30.1;3.6;6.7;0.537;1.1;2.9;40.1;0.6;1.8;31.05;1;1.2;82.5;13.5;1.6;4.5;1.8;1.1;0.8;0.2;3.7;1.8;1.7;18.9;9.1
Russell Westbrook;HOU;31;6'3;36;7.5;13.5;0.556;2.1;5.2;40.7;1;3.7;25.075;1.9;2.5;75;27.2;1.8;6.2;7;4.5;1.6;0.4;20.8;1.1;1.9;33;14.5
Ryan Anderson;HOU;32;6'9;7;0;0.5;0;0.5;0.5;100;0.5;2.5;10;0;0;0;2.5;0;3.5;1;0.5;0.5;0;0;0;2.5;24.2;11.5
Ryan Arcidiacono;CHI;26;6'3;16;0.6;1.2;0.5;0.1;0.2;46.2;1;2.5;40.875;0.1;0.1;37.5;4.5;0.3;1.6;1.7;0.6;0.5;0.1;3.3;0;1.9;12.1;6.1
Ryan Broekhoff;PHI;29;6'6;10.6;0.2;0.4;0.5;0;0.1;0;1.4;3.7;39.05;0.1;0.1;100;4.2;0.3;2.2;0.6;0.4;0.3;0.2;0.6;0;2.8;15.5;8.4
Sekou Doumbouya;DET;19;6'8;19.8;1.6;3.3;0.485;0.1;0.3;27.3;0.9;2.8;29.625;0.3;0.4;70.6;6.4;0.5;2.6;0.5;0.9;0.5;0.2;2.1;0.3;2.3;16.4;3.9
Semi Ojeleye;BOS;25;6'6;14.6;0.4;0.8;0.5;0.1;0.2;42.9;0.8;2.1;39.125;0;0;100;3.4;0.4;1.7;0.5;0.3;0.3;0.1;0.8;0.1;1.7;9.4;5.7
Serge Ibaka;TOR;30;7'0;27;4;6.6;0.606;1;2.3;42.9;1.3;3.3;32.925;0.1;0.1;75;15.4;2.1;6.1;1.4;2;0.5;0.8;1.4;1.6;3.1;23.6;12.4
Seth Curry;DAL;29;6'2;24.6;1.2;2.3;0.522;0.9;1.7;54.6;2.3;5;45.475;0.3;0.3;88.9;12.4;0.4;1.8;1.9;1;0.6;0.1;4.2;0;3.2;17.6;9.3
Shabazz Napier;WAS;28;6'0;24;1.5;2.9;0.517;0.5;1;45.6;1.4;4.3;23.975;0.7;0.9;85.4;10.3;0.5;2.4;4.7;2.3;1.2;0.2;8.1;0;1.8;19.7;10.2
Shai Gilgeous-Alexander;OKC;21;6'5;34.7;4.6;8.9;0.517;0.9;2;47.8;1.2;3.6;38.4;2.5;3;82.7;19;0.7;5.2;3.3;1.9;1.1;0.7;16.4;0;1.2;23.5;12.3
Shake Milton;PHI;23;6'5;20.1;1.7;3;0.567;0.2;0.7;34.6;1.6;3.6;43.35;0.7;0.8;84.8;9.4;0.4;1.8;2.6;1.2;0.5;0.2;5.1;0;2.7;18.6;8.4
Shamorie Ponds;TOR;22;6'0;2.6;0.5;0.8;0.625;0;0;0;0.3;0.7;25;0.5;0.5;100;2.3;0;0.3;0.5;0;0;0.3;0.8;0;0.3;22.2;19.1
Shaquille Harrison;CHI;26;6'7;11.3;1.5;2.9;0.517;0.1;0.2;50;0.4;1.1;37.875;0.4;0.5;80;4.9;0.5;1.5;1.1;0.4;0.8;0.4;3.4;0;0.8;17.6;11.4
Sindarius Thornwell;NOP;25;6'4;17.7;2;3.5;0.571;0;0;0;1;1.5;50;1;2;50;8;0;2;2;1;0.5;0.5;4;0;1.5;17.6;9.4
Skal Labissiere;ATL;24;6'10;17.2;1.8;3.1;0.581;0.5;0.9;58.6;0.1;0.4;13.65;0;0;0;5.8;2;3.2;1.3;0.9;0.2;0.9;0.1;0.9;0.3;13.9;9.3
Solomon Hill;MIA;29;6'6;18.4;0.7;1.4;0.5;0.2;0.4;43.5;1.1;3;38.75;0.2;0.3;70;5.5;0.5;2.3;1.8;0.9;0.7;0.2;1.8;0.3;2.6;13.5;6.7
Spencer Dinwiddie;BKN;27;6'5;31.2;4.4;8.5;0.518;0.4;1.2;29.9;1.9;6.2;31.5;2.9;3.8;76.1;20.6;0.5;3;6.8;2.7;0.6;0.3;17.1;0.2;2.2;28.7;12.1
Stanley Johnson;TOR;24;6'6;6;0.6;1.3;0.462;0;0.3;16.7;0.3;1.2;23.35;0.2;0.2;66.7;2.4;0.3;1.2;0.8;0.6;0.2;0.2;1.2;0.1;0.4;21.4;8.5
Stanton Kidd;UTA;28;6'6;3.8;0;0.5;0;0;0;0;#VALEUR!;#VALEUR!;0;0;0;0;0;0;0.8;0.3;0.5;0;0;0.3;0;0.3;13.9;-7.7
Stephen Curry;GSW;32;6'3;27.9;3;4.6;0.652;1.2;2;60;2.4;9.8;28.3;2;2;100;20.8;0.8;4.4;6.6;3.2;1;0.4;7.2;0;4.4;28.6;13.3
Sterling Brown;MIL;25;6'5;14.7;0.9;1.8;0.5;0.1;0.5;25;1;2.8;34.2;0.3;0.3;81.3;5.1;0.6;2.9;1;0.8;0.6;0.1;2.2;0.1;1.8;16.2;8.2
Steven Adams;OKC;26;6'11;26.7;4.5;7.3;0.616;0;0.2;21.4;0;0;0;0.1;0.2;60;10.9;3.3;6;2.3;1.5;0.8;1.1;0.7;3.9;0;16.8;13.6
Svi Mykhailiuk;DET;23;6'7;22.6;0.9;2;0.45;0;0.1;25;2.1;5;40.525;0.3;0.4;80;9;0.3;1.6;1.9;1.1;0.7;0.1;4.4;0;4;16.5;6.9
T.J. McConnell;IND;28;6'1;18.7;2.2;3.7;0.595;0.7;1.8;37.2;0;0.2;26.65;0.2;0.3;77.3;6.5;0.5;2.1;5;1.4;0.8;0.2;9.2;0.1;0.2;16.7;12.2
T.J. Warren;IND;26;6'8;32.9;5;7.6;0.658;1.7;3.9;43;1.5;3.4;39.725;0.7;0.9;79.7;19.8;1;3.2;1.5;1.3;1.2;0.5;5.5;0.6;2.9;22.9;11.3
TJ Leaf;IND;23;6'10;7.9;1.1;2.3;0.478;0;0.2;25;0.3;0.8;44.025;0;0;0;3;0.8;1.7;0.3;0.3;0.4;0.1;0.7;0.4;0.6;18;9.2
Tacko Fall;BOS;24;7'5;4.6;1.8;2.2;0.818;0;0;0;0;0;0;0;0;0;3.3;0.1;2;0.1;0.4;0.1;0.6;0;1.3;0;25;24.1
Taj Gibson;NYK;35;6'9;16.5;2.2;3.4;0.647;0.4;1;40.6;0;0.3;29.975;0;0;0;6.1;1.8;2.5;0.8;0.8;0.4;0.5;0.3;0.9;0.2;14.5;9.7
Talen Horton-Tucker;LAL;19;6'4;13.5;1.8;3;0.6;0.2;0.3;50;0.7;2.3;29.175;0.2;0.3;50;5.7;0.3;0.8;1;1;1.3;0.2;3.7;0;1.2;18;6.1
Tariq Owens;PHX;25;6'10;5.1;0.3;0.7;0.429;0;0.3;0;0;1.3;0;0;0;0;1.3;0.7;0.3;0;0;0.3;0;0;0;0.7;17.1;3.1
Taurean Prince;BKN;26;6'7;29;1.8;3.8;0.474;0.4;1.1;33.3;2.3;6.7;33.85;0.3;0.3;80;12.1;0.8;5.2;1.8;2;0.9;0.4;5.3;0.1;4.9;20;7.4
Terance Mann;LAC;23;6'5;8.8;0.9;1.6;0.563;0;0.2;0;0.3;0.9;32.55;0.4;0.5;68.2;2.4;0.2;1.1;1.3;0.4;0.3;0.1;2.6;0;0.4;12.3;7.4
Terence Davis;TOR;23;6'4;16.8;1.4;2.4;0.583;0;0.3;11.1;1.4;3.3;42.9;0.1;0.2;83.3;7.5;0.7;2.6;1.6;1.1;0.5;0.2;3;0;2.5;18.1;10.1
Terrance Ferguson;OKC;22;6'6;22.5;0.4;0.7;0.571;0.1;0.3;57.1;0.9;3.1;30.3;0.1;0.1;83.3;3.9;0.4;0.9;0.9;0.6;0.5;0.3;1.3;0;2.9;9.2;0.7
Terrence Ross;ORL;29;6'6;27.4;1.4;2.4;0.583;1;2.6;39.8;2.6;7.2;38.2;0.1;0.1;90;14.7;0.2;3;1.2;1;1.1;0.3;2;0;5.3;21.6;9.5
Terry Rozier;CHA;26;6'1;34.4;2.9;6.6;0.439;0.7;1.7;38.9;2.7;6.7;41.35;0.6;0.7;88.1;18;0.8;3.6;4.1;2.2;1;0.2;10.2;0;3.7;23.2;10.3
Thabo Sefolosha;HOU;36;6'6;10.6;0.5;0.8;0.625;0;0.1;20;0.4;1.4;29.35;0;0;0;2.2;0.5;1.8;0.6;0.4;0.6;0.3;0.5;0;1.2;10;6.4
Thaddeus Young;CHI;32;6'8;24.9;2.8;5.4;0.519;0.1;0.4;32.1;1.3;3.5;33.775;0.1;0.2;57.1;10.3;1.5;3.5;1.8;1.6;1.4;0.4;3.7;1.5;3.1;19.2;8.9
Thanasis Antetokounmpo;MIL;27;6'6;6.4;1.3;2;0.65;0;0.1;0;0;0.7;0;0.1;0.3;40;2.8;0.6;0.6;0.8;0.6;0.4;0.1;1.8;0.1;0.3;20.2;6.2
Theo Pinson;NYK;24;6'5;11.1;0.9;2.2;0.409;0.1;0.2;33.3;0.4;2.4;22.2;0.2;0.2;87.5;3.6;0.3;1.3;1.7;1;0.5;0.1;3.6;0;1.2;21.8;5.1
Thomas Bryant;WAS;22;6'10;24.9;3.6;5.1;0.706;0.9;2;44.7;0.7;2;40.35;0.1;0.2;50;13.2;2.1;5.1;1.8;1.2;0.5;1.1;0.7;1;1.7;18.5;13
Thon Maker;DET;23;7'0;12.9;1;1.9;0.526;0.1;0.4;40;0.4;1.2;34.85;0.1;0.2;70;4.7;0.9;1.9;0.7;0.8;0.4;0.7;0.4;0.3;1;16;7.6
Tim Frazier;DET;29;6'0;13.1;0.6;1.4;0.429;0.3;1;33.3;0.5;1.3;39;0.3;0.4;63.6;3.6;0.3;0.9;3.4;1.3;0.5;0.1;5.1;0;0.5;17.1;6.8
Tim Hardaway Jr.;DAL;28;6'5;29.5;1.6;3.3;0.485;0.9;1.9;46.3;2.9;7.3;41.225;0.5;0.6;83.7;15.8;0.4;2.9;1.9;1;0.6;0.1;3.9;0.2;4.9;20.4;8.9
Timothe Luwawu-Cabarrot;BKN;25;6'7;18.1;1.1;2.2;0.5;0.1;0.2;44.4;1.5;3.8;39.15;0.5;0.6;89.3;7.8;0.6;2.1;0.6;0.8;0.4;0.1;2.6;0;3.2;16.2;6.9
Tobias Harris;PHI;27;6'8;34.3;4.8;8.2;0.585;1.1;3.1;34.7;1.9;5;39.45;0.6;0.7;84.3;19.6;1;5.9;3.2;1.4;0.7;0.6;8.4;2.5;3.7;23.6;12.6
Tomas Satoransky;CHI;28;6'7;28.9;2.4;4.7;0.511;0.2;0.7;34.1;0.9;3;33.75;0.6;0.6;90.5;9.9;1.2;2.7;5.4;2;1.2;0.1;10.2;0.3;2.6;16.5;9.4
Tony Bradley;UTA;22;6'10;11.4;2.1;3.2;0.656;0;0;0;0.1;0.1;50;0;0;0;4.9;1.9;2.7;0.4;0.5;0.2;0.6;0;0.2;0.1;14.7;12.2
Tony Snell;DET;28;6'6;27.8;0.9;1.6;0.563;0.2;0.6;42.4;1.7;4.3;41;0;0;100;8;0.2;1.7;2.2;0.5;0.5;0.3;3;0;3.8;11;6.2
Torrey Craig;DEN;29;6'7;18.5;1.4;2;0.7;0.1;0.2;21.4;0.8;2.5;31.925;0;0;100;5.4;1.1;2.2;0.8;0.4;0.4;0.6;0.6;0.1;2.3;12.3;5.6
Trae Young;ATL;21;6'1;35.3;4.9;9.5;0.516;0.8;1.8;44;3.5;9.5;49.225;2.1;2.5;85.9;29.6;0.5;3.7;9.3;4.8;1.1;0.1;19.8;0;1.7;33.9;16
Tremont Waters;BOS;22;5'10;10.8;0.7;1.7;0.412;0.3;0.7;42.9;0.4;2.5;10;0.4;0.4;100;3.6;0;1.1;1.5;1.4;0.9;0.2;4.3;0;0.8;23.2;3.7
Treveon Graham;ATL;26;6'5;16.9;0.9;2.1;0.429;0;0.1;33.3;0.7;2.2;27.125;0.3;0.4;75;4.4;0.9;1.8;0.8;0.5;0.4;0.1;1.9;0.1;2;13;3.7
Trevor Ariza;POR;35;6'8;28.2;1.3;2.1;0.619;0;0.1;0;1.4;3.9;37.575;0.3;0.3;86.7;8;0.6;4;1.7;1.1;1.3;0.3;3;0.3;3.2;11.7;7.7
Trey Burke;DAL;27;6'0;15.8;1.2;2.4;0.5;0.7;1.7;41.8;1;2.4;45.05;0.2;0.4;66.7;7.4;0.5;1;2.5;0.6;0.5;0.1;4.6;0;1.7;19.6;10.2
Trey Lyles;SAS;24;6'9;20.2;1.1;2.1;0.524;0.2;0.6;35;1.1;2.8;40.725;0.1;0.2;75;6.4;1.1;4.6;1.1;0.6;0.4;0.4;2.4;0.1;2.4;13.6;8.8
Tristan Thompson;CLE;29;6'9;30.2;4.7;9;0.522;0.2;0.5;31;0.1;0.4;32.5;0.2;0.2;92.9;12;4;6.2;2.1;1.8;0.6;0.9;2.2;2.5;0.2;18.1;10.8
Troy Brown Jr.;WAS;20;6'6;25.8;2.4;4.5;0.533;0.7;1.9;36.8;0.8;2.5;37.8;0.3;0.5;75;10.4;1.1;4.4;2.6;1.1;1.2;0.1;3.8;0.1;2.1;17.4;10
Troy Daniels;DEN;28;6'4;11.3;0.4;0.6;0.667;0.2;0.6;37;1.2;3.2;37.425;0;0;50;4.3;0.3;0.9;0.4;0.3;0.2;0.1;0.4;0;2;15.5;5.5
Ty Jerome;PHX;22;6'5;10.6;0.7;1.8;0.389;0.1;0.4;25;0.5;1.7;29.025;0;0.1;33.3;3.3;0.2;1.3;1.4;0.6;0.5;0.1;3.1;0;1.3;17;6.6
Tyler Cook;DEN;22;6'8;4.2;0.6;0.9;0.667;0.1;0.1;100;0;0;0;0;0;0;1.8;0.5;0.6;0.1;0.2;0.2;0;0.1;0.3;0;15;10.1
Tyler Herro;MIA;20;6'5;27.4;1.6;3;0.533;1.2;3;39.4;2.2;5.4;41.3;0.6;0.7;92.1;13.5;0.3;3.8;2.2;1.6;0.6;0.2;5.7;0.1;3;21.3;9.9
Tyler Johnson;BKN;28;6'3;18.2;0.8;1.8;0.444;0.7;1.6;46;1;3.1;35.5;0.6;0.7;85.7;7;0.5;1.5;1.9;0.7;0.4;0.2;2.9;0.2;2.7;17.7;6.6
Tyler Zeller;SAS;30;6'11;1.9;1;4;0.25;0;0;0;#VALEUR!;#VALEUR!;#DIV/0!;0;0;0;1;1.5;0.5;0;0;0;0;0;0;0;26.7;25
Tyrone Wallace;ATL;26;6'5;11.5;1;2.1;0.476;0;0.1;0;0.1;1.1;5;0.1;0.3;50;2.9;0.2;1.4;0.9;0.7;0.5;0.1;2.4;0.1;0.7;15.4;3.2
Tyson Chandler;HOU;37;7'0;8.4;0.6;0.7;0.857;0;0;0;0;0;0;0;0;0;1.3;1;1.6;0.2;0.3;0.2;0.3;0;0.1;0;5.7;6.1
Tyus Jones;MEM;24;6'0;19;1.8;3.5;0.514;0.5;1.2;40.8;0.8;2;41.675;0.2;0.3;70;7.4;0.1;1.4;4.4;0.8;0.9;0.1;4.9;0;1.2;16.5;10.8
Udonis Haslem;MIA;40;6'8;11;0.8;1.8;0.444;0;0.3;0;0.3;0.8;16.65;0;0;0;3;0.3;3.8;0.3;0.3;0;0;0;0.3;0.8;14.7;10.5
Vic Law;ORL;24;6'7;7.7;0.4;0.9;0.444;0.3;0.6;40;0.1;1.2;12.5;0;0;0;1.9;0.3;1.1;0.4;0.3;0.3;0;0.4;0;0.9;15;3.1
Victor Oladipo;IND;28;6'4;27.8;2.2;4.7;0.468;1.2;2.8;41.5;1.7;5.4;22.75;0.9;1.2;73.9;14.5;0.5;3.5;2.9;2.5;0.9;0.2;8.8;0;2.1;25.9;8.6
Vince Carter;ATL;43;6'6;14.6;0.5;1;0.5;0.3;0.7;40.9;1;3.5;30.85;0.1;0.1;75;5;0.3;1.8;0.8;0.6;0.4;0.4;1.2;0.5;2.8;16.3;5
Vincent Poirier;BOS;26;7'0;5.9;0.6;1.2;0.5;0.2;0.6;30;0;0.1;25;0;0;0;1.9;0.6;1.4;0.4;0.4;0.1;0.4;0.2;0.2;0.1;14.1;7.7
Vlatko Cancar;DEN;23;6'8;3.2;0.5;0.7;0.714;0;0.1;0;0.1;0.6;10;0;0;0;1.2;0.4;0.4;0.2;0.2;0.1;0.1;0.2;0;0.4;17.7;5.2
Wayne Ellington;NYK;32;6'4;15.5;0.2;0.4;0.5;0.2;0.6;28.6;1.4;4.2;42.925;0;0;0;5.1;0.1;1.7;1.2;0.5;0.4;0.1;0.6;0;2.8;14.6;6.8
Wendell Carter Jr.;CHI;21;6'9;29.2;3.8;6.5;0.585;0.4;0.8;45.7;0.1;0.7;39.025;0.1;0.2;75;11.3;3.2;6.2;1.2;1.7;0.8;0.8;0.6;1.8;0.6;16.2;10.3
Wenyen Gabriel;POR;23;6'9;7.8;0.5;0.9;0.556;0;0;100;0.3;0.8;31.675;0;0.1;25;2.1;0.7;1;0.3;0.5;0.4;0.2;0.6;0.1;0.6;12.4;4.3
Wes Iwundu;ORL;25;6'6;18.3;1.1;2;0.55;0.3;1;30;0.5;1.7;34.675;0.5;0.5;89.3;5.8;0.5;2.1;1.2;0.5;0.5;0.3;1.7;0;1.3;13.4;6.7
Wesley Matthews;MIL;33;6'4;24.4;0.8;1.5;0.533;0.1;0.4;34.6;1.7;4.5;38.175;0.1;0.2;58.3;7.4;0.3;2.1;1.4;0.6;0.6;0.1;1.7;0.1;3.5;12.3;5.3
Will Barton;DEN;29;6'5;33;3.2;6.6;0.485;0.7;1.3;51.4;1.8;5;42.825;0.5;0.7;76.3;15.1;1.3;5;3.7;1.5;1.1;0.5;7.8;0.1;2.7;19.7;10.9
William Howard;HOU;26;6'8;6.6;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;1;0.5;0.5;0;0;1;0;1;15.2;-8.6
Willie Cauley-Stein;DAL;26;7'0;20.3;3.1;4.8;0.646;0.2;0.8;25;0;0;0;0;0;50;7.2;1.6;4.3;1.3;0.7;0.9;1.1;0.8;1.9;0;14.4;11.3
Willy Hernangomez;CHA;26;6'11;12.1;2.2;3.6;0.611;0.1;0.2;33.3;0.1;0.7;23.05;0;0.1;50;6.1;1.4;2.9;0.9;1;0.3;0.2;0.3;2.6;0.7;22.2;14.4
Wilson Chandler;BKN;33;6'8;21;0.9;1.5;0.6;0.2;0.3;66.7;1;3.4;33.75;0.3;0.3;90;5.9;0.3;3.8;1.1;1;0.5;0.3;2.7;0.1;3.2;12.8;6.5
Yogi Ferrell;SAC;27;6'0;10.6;0.5;1.2;0.417;0.6;1.1;54.7;0.6;1.8;41.65;0.4;0.5;83.3;4.4;0.1;0.9;1.4;0.6;0.4;0.1;2.5;0;0.6;18.5;9.1
Yuta Watanabe;MEM;25;6'8;5.8;0.7;1.4;0.5;0.1;0.3;25;0.2;0.5;41.65;0;0.1;0;2;0.4;0.7;0.3;0.1;0.3;0.1;0.7;0;0.4;14.9;7
Zach Collins;POR;22;6'11;26.4;2;3.8;0.526;0.3;0.6;42.9;0.6;1.8;31.425;0;0;0;7;2.3;4;1.5;1.3;0.5;0.5;0.3;1.5;1.6;12.6;5.4
Zach LaVine;CHI;25;6'6;34.8;5;9.4;0.532;0.9;2.5;34.4;3.1;8;41.625;2;2.5;80.8;25.5;0.7;4.1;4.2;3.4;1.5;0.5;12.5;0.3;2.8;31.2;13
Zach Norvell Jr.;GSW;22;6'5;8.2;0;0.2;0;0;0.6;0;0.6;1.6;21.45;0;0;0;2;0;1.2;0.6;0.6;0.4;0;1.2;0.2;1.6;14.7;2.6
Zhaire Smith;PHI;21;6'3;4.6;0.5;1.2;0.417;0;0.2;0;0;0.6;0;0;0;0;1.1;0;0.3;0.3;0.3;0.4;0;0.6;0;0.4;16.5;-0.8
Zion Williamson;NOP;19;6'6;27.8;8.4;14;0.6;0.1;0.5;27.3;0.3;0.5;23.1;0.8;1.1;69.2;22.5;2.7;3.6;2.1;2.5;0.7;0.4;5;6.9;0.3;29.1;14.1
Zylan Cheatham;NOP;24;6'5;12.8;1.5;2;0.75;0;0;0;0;0.3;0;0;0;0;3;0.8;1.5;0.8;1;0.3;0.3;0.3;0;0.3;10.3;3.4
